"FIPS","Qualifying Name","File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/MicropolitanIndicator Flag","New England City and Town Area","New England City and TownCombined Statistical Area","New England City and Town AreaDivision","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area – 5%File","Public Use Microdata Area - 1% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Place (State FIPS + Place FIPS)","Workers 16 Years and Over:","Workers 16 Years and Over: Car, Truck, or Van","Workers 16 Years and Over: Drove Alone","Workers 16 Years and Over: Carpooled","Workers 16 Years and Over: Public Transportation (Includes Taxicab)","Workers 16 Years and Over: Motorcycle","Workers 16 Years and Over: Bicycle","Workers 16 Years and Over: Walked","Workers 16 Years and Over: Other Means","Workers 16 Years and Over: Worked At Home","Total Population:","Total Population: More than 5 Years","Total Population: More than 10 Years","Total Population: More than 15 Years","Total Population: More than 18 Years","Total Population: More than 25 Years","Total Population: More than 35 Years","Total Population: More than 45 Years","Total Population: More than 55 Years","Total Population: More than 65 Years","Total Population: More than 75 Years","Total Population: More than 85 Years","Median Household Income (In 2021 Inflation Adjusted Dollars)","Total Population","Total Population: Not Hispanic or Latino","Total Population: Not Hispanic or Latino: White Alone","Total Population: Not Hispanic or Latino: Black or African American Alone","Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Not Hispanic or Latino: Asian Alone","Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Not Hispanic or Latino: Some Other Race Alone","Total Population: Not Hispanic or Latino: Two or More Races","Total Population: Hispanic or Latino","Total Population: Hispanic or Latino: White Alone","Total Population: Hispanic or Latino: Black or African American Alone","Total Population: Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Hispanic or Latino: Asian Alone","Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Hispanic or Latino: Some Other Race Alone","Total Population: Hispanic or Latino: Two or More Races"
"06073000100","Census Tract 1, San Diego County, California","ACSSF","ca","140","00","0009138",,,,,"06","073",,,"000100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073000100","Census Tract 1",,,,1208,931,881,50,0,0,5,46,0,226,2956,2634,2513,2358,2295,2221,2048,1643,1266,949,355,67,160990,2956,2529,2294,0,0,117,0,4,114,427,329,0,0,16,12,12,58
"06073000201","Census Tract 2.01, San Diego County, California","ACSSF","ca","140","00","0009139",,,,,"06","073",,,"000201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073000201","Census Tract 2.01",,,,1130,798,748,50,9,0,7,110,11,195,2309,2213,2125,1946,1902,1847,1544,1307,960,706,276,180,94629,2309,2186,1905,9,0,129,0,0,143,123,76,0,0,0,0,0,47
"06073000202","Census Tract 2.02, San Diego County, California","ACSSF","ca","140","00","0009140",,,,,"06","073",,,"000202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073000202","Census Tract 2.02",,,,2567,2039,1914,125,85,18,0,27,15,383,4116,4069,3991,3879,3773,3684,2706,1805,1278,759,335,75,99651,4116,3403,2958,20,0,253,3,0,169,713,403,0,0,0,0,218,92
"06073000301","Census Tract 3.01, San Diego County, California","ACSSF","ca","140","00","0009141",,,,,"06","073",,,"000301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073000301","Census Tract 3.01",,,,1611,1167,1151,16,82,29,0,69,29,235,2250,2184,2119,2119,2088,1961,1345,954,600,335,86,0,82788,2250,1816,1465,52,0,121,0,33,145,434,290,0,0,0,0,121,23
"06073000302","Census Tract 3.02, San Diego County, California","ACSSF","ca","140","00","0009142",,,,,"06","073",,,"000302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073000302","Census Tract 3.02",,,,2099,1472,1417,55,96,0,3,267,22,239,3042,2948,2912,2912,2912,2499,1894,1310,969,622,380,138,71712,3042,2401,2241,57,0,80,0,3,20,641,314,67,3,0,0,134,123
"06073000400","Census Tract 4, San Diego County, California","ACSSF","ca","140","00","0009143",,,,,"06","073",,,"000400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073000400","Census Tract 4",,,,2633,1903,1684,219,140,0,57,118,99,316,3607,3586,3586,3586,3540,3339,1649,1174,627,337,112,33,79336,3607,2840,2022,168,0,526,0,19,105,767,289,0,0,0,0,294,184
"06073000500","Census Tract 5, San Diego County, California","ACSSF","ca","140","00","0009144",,,,,"06","073",,,"000500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073000500","Census Tract 5",,,,1816,1260,1196,64,100,16,18,53,0,369,3045,2874,2790,2740,2680,2493,1915,1160,921,466,161,44,93409,3045,2434,2176,13,11,153,0,8,73,611,164,0,37,13,0,95,302
"06073000600","Census Tract 6, San Diego County, California","ACSSF","ca","140","00","0009145",,,,,"06","073",,,"000600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073000600","Census Tract 6",,,,2325,1786,1661,125,12,16,9,94,17,391,3196,3118,3064,2959,2929,2822,1902,1247,748,340,130,54,88255,3196,2581,1965,227,0,237,0,8,144,615,377,43,0,0,0,82,113
"06073000700","Census Tract 7, San Diego County, California","ACSSF","ca","140","00","0009146",,,,,"06","073",,,"000700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073000700","Census Tract 7",,,,2747,2071,2004,67,15,16,97,53,89,406,4342,4145,4040,3994,3994,3950,2436,1762,1217,884,365,79,90910,4342,3620,2945,106,0,347,0,35,187,722,391,0,0,0,0,232,99
"06073000800","Census Tract 8, San Diego County, California","ACSSF","ca","140","00","0009147",,,,,"06","073",,,"000800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073000800","Census Tract 8",,,,3464,2429,2189,240,89,55,68,118,0,705,5230,5021,4851,4768,4682,4439,2651,1733,1171,540,146,53,80615,5230,4059,3381,302,0,253,12,0,111,1171,560,45,0,0,0,298,268
"06073000901","Census Tract 9.01, San Diego County, California","ACSSF","ca","140","00","0009148",,,,,"06","073",,,"000901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073000901","Census Tract 9.01",,,,2715,2260,1966,294,93,79,27,27,0,229,3310,3235,3219,3174,3157,2997,1657,758,521,120,14,14,92520,3310,1994,1564,180,0,156,0,0,94,1316,772,0,0,0,0,279,265
"06073000902","Census Tract 9.02, San Diego County, California","ACSSF","ca","140","00","0009149",,,,,"06","073",,,"000902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073000902","Census Tract 9.02",,,,1395,1172,1172,0,49,0,0,30,10,134,2208,2169,2155,2122,2081,2032,1471,988,651,427,197,55,66135,2208,1876,1358,202,17,263,0,0,36,332,184,0,0,0,0,148,0
"06073001000","Census Tract 10, San Diego County, California","ACSSF","ca","140","00","0009150",,,,,"06","073",,,"001000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073001000","Census Tract 10",,,,2990,2240,2165,75,78,28,14,164,14,452,4327,4053,3939,3846,3816,3692,2014,1314,763,438,194,27,75664,4327,2765,2121,206,0,235,0,0,203,1562,764,0,116,0,0,163,519
"06073001100","Census Tract 11, San Diego County, California","ACSSF","ca","140","00","0009151",,,,,"06","073",,,"001100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073001100","Census Tract 11",,,,2130,1553,1426,127,20,10,15,1,11,520,3083,2906,2900,2834,2766,2564,1524,831,481,256,115,7,83859,3083,2484,1602,329,14,205,0,49,285,599,375,14,16,0,0,78,116
"06073001201","Census Tract 12.01, San Diego County, California","ACSSF","ca","140","00","0009152",,,,,"06","073",,,"001201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073001201","Census Tract 12.01",,,,1478,851,804,47,103,0,0,0,0,524,2478,2310,2211,2116,2098,2011,1007,471,305,211,40,0,71875,2478,1177,585,370,0,222,0,0,0,1301,1032,0,0,0,0,12,257
"06073001202","Census Tract 12.02, San Diego County, California","ACSSF","ca","140","00","0009153",,,,,"06","073",,,"001202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073001202","Census Tract 12.02",,,,2237,1731,1603,128,198,0,0,59,0,249,3132,3039,2972,2942,2942,2574,1270,868,508,171,49,0,75306,3132,2225,1582,402,0,158,0,0,83,907,391,0,47,69,0,287,113
